location,Basilej
lat,47.54694
lon,7.56892
asl,283.697
variable,Shortwave Radiation
unit,W/m²
level,sfc
resolution,hourly
aggregation,None
timestamp,Basilej Shortwave Radiation
20080119T1300,365.79
20080119T1400,348.88
20080119T1500,307.05
20080119T1600,210.93
20080119T1700,84.549995
20080119T1800,0.0
20080119T1900,0.0
20080119T2000,0.0
20080119T2100,0.0
20080119T2200,0.0
20080119T2300,0.0
20080120T0000,0.0
20080120T0100,0.0
20080120T0200,0.0
20080120T0300,0.0
20080120T0400,0.0
20080120T0500,0.0
20080120T0600,0.0
20080120T0700,0.0
20080120T0800,0.0
20080120T0900,38.27
20080120T1000,170.88
20080120T1100,280.35
20080120T1200,354.22
20080120T1300,384.47998
20080120T1400,369.35
20080120T1500,273.22998
20080120T1600,191.34999
20080120T1700,89.0
20080120T1800,0.89
20080120T1900,0.0
20080120T2000,0.0
20080120T2100,0.0
20080120T2200,0.0
20080120T2300,0.0
20080121T0000,0.0
20080121T0100,0.0
20080121T0200,0.0
20080121T0300,0.0
20080121T0400,0.0
20080121T0500,0.0
20080121T0600,0.0
20080121T0700,0.0
20080121T0800,0.0
20080121T0900,38.27
20080121T1000,172.66
20080121T1100,283.91
20080121T1200,358.66998
20080121T1300,344.43
20080121T1400,361.34
20080121T1500,316.84
20080121T1600,220.72
20080121T1700,94.34
20080121T1800,1.78
20080121T1900,0.0
20080121T2000,0.0
20080121T2100,0.0
20080121T2200,0.0
20080121T2300,0.0
20080122T0000,0.0
20080122T0100,0.0
20080122T0200,0.0
20080122T0300,0.0
20080122T0400,0.0
20080122T0500,0.0
20080122T0600,0.0
20080122T0700,0.0
20080122T0800,0.0
20080122T0900,17.8
20080122T1000,120.15
20080122T1100,212.70999
20080122T1200,271.44998
20080122T1300,128.16
20080122T1400,137.95
20080122T1500,214.48999
20080122T1600,210.04
20080122T1700,64.97
20080122T1800,0.0
20080122T1900,0.0
20080122T2000,0.0
20080122T2100,0.0
20080122T2200,0.0
20080122T2300,0.0
20080123T0000,0.0
20080123T0100,0.0
20080123T0200,0.0
20080123T0300,0.0
20080123T0400,0.0
20080123T0500,0.0
20080123T0600,0.0
20080123T0700,0.0
20080123T0800,0.0
20080123T0900,45.39
20080123T1000,173.55
20080123T1100,285.69
20080123T1200,362.22998
20080123T1300,400.5
20080123T1400,387.15
20080123T1500,322.18
20080123T1600,218.94
20080123T1700,91.67
20080123T1800,1.78
20080123T1900,0.0
20080123T2000,0.0
20080123T2100,0.0
20080123T2200,0.0
20080123T2300,0.0
20080124T0000,0.0
20080124T0100,0.0
20080124T0200,0.0
20080124T0300,0.0
20080124T0400,0.0
20080124T0500,0.0
20080124T0600,0.0
20080124T0700,0.0
20080124T0800,0.0
20080124T0900,43.61
20080124T1000,178.89
20080124T1100,290.13998
20080124T1200,364.9
20080124T1300,396.94
20080124T1400,377.36
20080124T1500,316.84
20080124T1600,224.28
20080124T1700,104.13
20080124T1800,3.56
20080124T1900,0.0
20080124T2000,0.0
20080124T2100,0.0
20080124T2200,0.0
20080124T2300,0.0
20080125T0000,0.0
20080125T0100,0.0
20080125T0200,0.0
20080125T0300,0.0
20080125T0400,0.0
20080125T0500,0.0
20080125T0600,0.0
20080125T0700,0.0
20080125T0800,0.0
20080125T0900,23.14
20080125T1000,170.88
20080125T1100,286.58
20080125T1200,341.76
20080125T1300,379.13998
20080125T1400,385.37
20080125T1500,330.19
20080125T1600,229.62
20080125T1700,101.46
20080125T1800,3.56
20080125T1900,0.0
20080125T2000,0.0
20080125T2100,0.0
20080125T2200,0.0
20080125T2300,0.0
20080126T0000,0.0
20080126T0100,0.0
20080126T0200,0.0
